"Check","Values","Trigger","Flag","Perc.Over"
"Overall",NA,NA,TRUE,NA
"all.acf",NA,NA,FALSE,NA
"all.geweke",NA,NA,TRUE,NA
"all.gelman.rubin",NA,NA,TRUE,NA
"max.abs.acf.S.eq.c",0.3506,0.7591,FALSE,-54
"abs.geweke.S.eq.c",0.9878,2.3,FALSE,-57
"gelman.rubin.S.eq.c",8.3679,1.1,TRUE,661
"max.abs.acf.S.msy.c",0.3652,0.7591,FALSE,-52
"abs.geweke.S.msy.c",0.3876,2.3,FALSE,-83
"gelman.rubin.S.msy.c",15.9885,1.1,TRUE,1354
"max.abs.acf.U.msy.c",0.5055,0.7591,FALSE,-33
"abs.geweke.U.msy.c",1.1041,2.3,FALSE,-52
"gelman.rubin.U.msy.c",2.9785,1.1,TRUE,171
"max.abs.acf.alpha",0.2603,0.7591,FALSE,-66
"abs.geweke.alpha",1.374,2.3,FALSE,-40
"gelman.rubin.alpha",4.5314,1.1,TRUE,312
"max.abs.acf.beta",0.479,0.7591,FALSE,-37
"abs.geweke.beta",0.1824,2.3,FALSE,-92
"gelman.rubin.beta",7.1982,1.1,TRUE,554
"max.abs.acf.lnalpha",0.4474,0.7591,FALSE,-41
"abs.geweke.lnalpha",1.4195,2.3,FALSE,-38
"gelman.rubin.lnalpha",2.7656,1.1,TRUE,151
"max.abs.acf.lnalpha.c",0.4042,0.7591,FALSE,-47
"abs.geweke.lnalpha.c",1.3964,2.3,FALSE,-39
"gelman.rubin.lnalpha.c",3.2806,1.1,TRUE,198
"max.abs.acf.phi",0.3169,0.7591,FALSE,-58
"abs.geweke.phi",0.6277,2.3,FALSE,-73
"gelman.rubin.phi",4.9452,1.1,TRUE,350
"max.abs.acf.sigma.R",0.2975,0.7591,FALSE,-61
"abs.geweke.sigma.R",3.325,2.3,TRUE,45
"gelman.rubin.sigma.R",1.947,1.1,TRUE,77
"max.abs.acf.S.eq.c2",0.3506,0.7591,FALSE,-54
"abs.geweke.S.eq.c2",0.9878,2.3,FALSE,-57
"gelman.rubin.S.eq.c2",8.3679,1.1,TRUE,661
"max.abs.acf.U.msy.c2",0.5009,0.7591,FALSE,-34
"abs.geweke.U.msy.c2",1.2849,2.3,FALSE,-44
"gelman.rubin.U.msy.c2",2.2448,1.1,TRUE,104
"max.abs.acf.S.msy.c2",0.3595,0.7591,FALSE,-53
"abs.geweke.S.msy.c2",0.474,2.3,FALSE,-79
"gelman.rubin.S.msy.c2",8.6585,1.1,TRUE,687
"max.abs.acf.U.max.c2",0.5042,0.7591,FALSE,-34
"abs.geweke.U.max.c2",1.1983,2.3,FALSE,-48
"gelman.rubin.U.max.c2",2.1254,1.1,TRUE,93
