"Check","Values","Trigger","Flag","Perc.Over"
"Overall",NA,NA,TRUE,NA
"all.acf",NA,NA,FALSE,NA
"all.geweke",NA,NA,TRUE,NA
"all.gelman.rubin",NA,NA,TRUE,NA
"max.abs.acf.S.eq.c",0.3557,0.7591,FALSE,-53
"abs.geweke.S.eq.c",3.2816,2.3,TRUE,43
"gelman.rubin.S.eq.c",12.2,1.1,TRUE,1009
"max.abs.acf.S.msy.c",0.4488,0.7591,FALSE,-41
"abs.geweke.S.msy.c",0.9072,2.3,FALSE,-61
"gelman.rubin.S.msy.c",10.158,1.1,TRUE,823
"max.abs.acf.U.msy.c",0.3006,0.7591,FALSE,-60
"abs.geweke.U.msy.c",0.6226,2.3,FALSE,-73
"gelman.rubin.U.msy.c",7.1532,1.1,TRUE,550
"max.abs.acf.alpha",0.208,0.7591,FALSE,-73
"abs.geweke.alpha",1.1493,2.3,FALSE,-50
"gelman.rubin.alpha",9.61,1.1,TRUE,774
"max.abs.acf.beta",0.5905,0.7591,FALSE,-22
"abs.geweke.beta",0.048,2.3,FALSE,-98
"gelman.rubin.beta",9.6548,1.1,TRUE,778
"max.abs.acf.lnalpha",0.2307,0.7591,FALSE,-70
"abs.geweke.lnalpha",0.7886,2.3,FALSE,-66
"gelman.rubin.lnalpha",8.1608,1.1,TRUE,642
"max.abs.acf.lnalpha.c",0.2942,0.7591,FALSE,-61
"abs.geweke.lnalpha.c",1.0829,2.3,FALSE,-53
"gelman.rubin.lnalpha.c",8.5842,1.1,TRUE,680
"max.abs.acf.phi",0.4136,0.7591,FALSE,-46
"abs.geweke.phi",0.7396,2.3,FALSE,-68
"gelman.rubin.phi",4.1865,1.1,TRUE,281
"max.abs.acf.sigma.R",0.3796,0.7591,FALSE,-50
"abs.geweke.sigma.R",0.0064,2.3,FALSE,-100
"gelman.rubin.sigma.R",6.0239,1.1,TRUE,448
"max.abs.acf.S.eq.c2",0.3557,0.7591,FALSE,-53
"abs.geweke.S.eq.c2",3.2816,2.3,TRUE,43
"gelman.rubin.S.eq.c2",12.2,1.1,TRUE,1009
"max.abs.acf.U.msy.c2",0.295,0.7591,FALSE,-61
"abs.geweke.U.msy.c2",0.784,2.3,FALSE,-66
"gelman.rubin.U.msy.c2",7.6542,1.1,TRUE,596
"max.abs.acf.S.msy.c2",0.4409,0.7591,FALSE,-42
"abs.geweke.S.msy.c2",0.951,2.3,FALSE,-59
"gelman.rubin.S.msy.c2",10.1156,1.1,TRUE,820
"max.abs.acf.U.max.c2",0.2985,0.7591,FALSE,-61
"abs.geweke.U.max.c2",0.6171,2.3,FALSE,-73
"gelman.rubin.U.max.c2",7.1648,1.1,TRUE,551
