"Check","Values","Trigger","Flag","Perc.Over"
"Overall",NA,NA,TRUE,NA
"all.acf",NA,NA,TRUE,NA
"all.geweke",NA,NA,TRUE,NA
"all.gelman.rubin",NA,NA,TRUE,NA
"max.abs.acf.lnalpha",0.1972,0.24,FALSE,-18
"abs.geweke.lnalpha",1.1933,2.3,FALSE,-48
"gelman.rubin.lnalpha",1.0827,1.1,FALSE,-2
"max.abs.acf.beta",0.1602,0.24,FALSE,-33
"abs.geweke.beta",0.1542,2.3,FALSE,-93
"gelman.rubin.beta",1.1246,1.1,TRUE,2
"max.abs.acf.sigma.red",0.2032,0.24,FALSE,-15
"abs.geweke.sigma.red",0.8246,2.3,FALSE,-64
"gelman.rubin.sigma.red",1.055,1.1,FALSE,-4
"max.abs.acf.S.msy",0.3483,0.24,TRUE,45
"abs.geweke.S.msy",1.36,2.3,FALSE,-41
"gelman.rubin.S.msy",1.5325,1.1,TRUE,39
"max.abs.acf.MSY",0.1913,0.24,FALSE,-20
"abs.geweke.MSY",2.9718,2.3,TRUE,29
"gelman.rubin.MSY",1.2659,1.1,TRUE,15
"max.abs.acf.lnalpha.c",0.1705,0.24,FALSE,-29
"abs.geweke.lnalpha.c",1.7321,2.3,FALSE,-25
"gelman.rubin.lnalpha.c",1.083,1.1,FALSE,-2
"max.abs.acf.alpha",0.0947,0.24,FALSE,-61
"abs.geweke.alpha",1.5253,2.3,FALSE,-34
"gelman.rubin.alpha",1.0687,1.1,FALSE,-3
"max.abs.acf.S.max",0.2859,0.24,TRUE,19
"abs.geweke.S.max",1.4309,2.3,FALSE,-38
"gelman.rubin.S.max",1.2283,1.1,TRUE,12
"max.abs.acf.S.eq",0.3545,0.24,TRUE,48
"abs.geweke.S.eq",1.6858,2.3,FALSE,-27
"gelman.rubin.S.eq",1.6349,1.1,TRUE,49
"max.abs.acf.U.msy",0.2873,0.24,TRUE,20
"abs.geweke.U.msy",0.2085,2.3,FALSE,-91
"gelman.rubin.U.msy",1.1403,1.1,TRUE,4
"max.abs.acf.sigma.white",0.2162,0.24,FALSE,-10
"abs.geweke.sigma.white",8e-04,2.3,FALSE,-100
"gelman.rubin.sigma.white",1.0684,1.1,FALSE,-3
"max.abs.acf.resid.red.0",0.1805,0.24,FALSE,-25
"abs.geweke.resid.red.0",1.8001,2.3,FALSE,-22
"gelman.rubin.resid.red.0",1.1365,1.1,TRUE,3
